"Listing ID","Sts","SubType","Address","Listing Contract Date","Activation Date","Purchase Contract Date","Close Date","City","County Or Parish","Original List Price","Days In MLS","Close Price","Current Price","RATIO Close Price By Original List Price","Concessions Amount","Bedrooms Total","Buyer Financing","Bathrooms Total Integer","Above Grade Finished Area","Building Area Total","Living Area","Parking Total","Association YN","Association Fee Total Annual"
"9598439","A","SFR","41321 E 88th Avenue","12/03/2024","","","","Bennett","Adams","$950,000","32","","$950,000","","","4","","3","1,930","3,860","3,000","2","No","$0.00"
"8148710","A","SFR","9129 Pitkin Street","12/03/2024","","","","Commerce City","Adams","$709,990","32","","$719,990","","","4","","4","3,137","4,316","3,137","2","Yes","$720.00"
"4361696","A","SFR","11505 Roxburg Street","12/03/2024","","","","Strasburg","Adams","$719,000","32","","$719,000","","","3","","3","1,599","2,886","1,849","12","No","$0.00"
"5090391","A","SFR","9299 Rifle Street","12/03/2024","","","","Commerce City","Adams","$649,900","32","","$649,900","","","4","","3","2,745","3,912","2,745","2","Yes","$720.00"
"5466734","A","TWH","1435 W 68th Avenue","12/03/2024","2024-12-03","","","Denver","Adams","$615,000","32","","$609,999","","","4","","4","1,924","1,924","1,924","2","Yes","$1,200.00"
"8930064","A","SFR","21294 E 63rd Drive","12/03/2024","","","","Aurora","Adams","$602,280","32","","$602,280","","","4","","3","2,069","2,069","2,069","2","Yes","$1,080.00"
"8218323","A","SFR","6038 Hourglass Drive","12/03/2024","","","","Brighton","Adams","$554,990","32","","$554,990","","","4","","3","2,661","2,661","2,661","2","No","$0.00"
"3728455","A","SFR","21249 E 62nd Avenue","12/03/2024","","","","Aurora","Adams","$548,470","32","","$548,470","","","3","","3","1,997","1,997","1,997","2","Yes","$1,080.00"
"5108312","A","SFR","9250 Lillian Lane","12/03/2024","","","","Thornton","Adams","$500,000","32","","$485,000","","","4","","2","1,776","1,776","1,776","1","No","$0.00"
"2545685","A","SFR","9464 Newton Street","12/03/2024","","","","Westminster","Adams","$500,000","32","","$470,000","","","4","","3","1,914","2,720","1,914","2","No","$0.00"
"4000693","A","CON","8678 Decatur Street Unit# 278","12/03/2024","","","","Westminster","Adams","$275,000","32","","$275,000","","","2","","1","1,000","1,000","1,000","2","Yes","$3,204.00"
"3725854","P","SFR","11699 Milwaukee Street","12/03/2024","","12/13/2024","","Thornton","Adams","$679,000","10","","$679,000","","","5","","3","2,200","3,752","3,400","2","No","$0.00"
"5511300","P","SFR","11338 Fowler Drive","12/03/2024","","12/10/2024","","Northglenn","Adams","$440,000","7","","$440,000","","","4","","2","1,000","2,000","1,760","4","No","$0.00"
"1990326","P","SFR","9396 Garfield Street","12/03/2024","","01/02/2025","","Thornton","Adams","$450,000","30","","$435,000","","","3","","2","1,640","1,640","1,640","2","Yes","$2,220.00"
